111.205.62.207,112.90.80.101,44495,tcp
111.205.62.207,112.90.80.101,44754,tcp
111.205.62.207,112.90.80.101,57926,tcp
111.205.62.207,112.90.80.101,53093,tcp
111.205.62.207,112.90.80.101,53099,tcp
111.205.62.207,112.90.80.101,53158,tcp
111.205.62.207,112.90.80.101,44862,tcp
112.90.80.101,111.205.62.207,443,tcp
112.90.80.101,111.205.62.207,443,tcp
111.205.62.207,112.90.80.101,59689,tcp
111.205.62.207,112.90.80.101,53180,tcp
111.205.62.207,112.90.80.101,53293,tcp
111.205.62.207,112.90.80.101,31002,tcp
111.205.62.207,112.90.80.101,53596,tcp
111.205.62.207,112.90.80.101,31170,tcp
111.205.62.207,112.90.80.101,53725,tcp
111.205.62.207,112.90.80.101,59867,tcp
111.205.62.207,112.90.80.101,53867,tcp
111.205.62.207,112.90.80.101,53996,tcp
111.205.62.207,112.90.80.101,54092,tcp
111.205.62.207,112.90.80.101,31513,tcp
111.205.62.207,112.90.80.101,54391,tcp
111.205.62.207,112.90.80.101,32012,tcp
111.205.62.207,112.90.80.101,54946,tcp
111.205.62.207,112.90.80.101,55107,tcp
111.205.62.207,112.90.80.101,32163,tcp
111.205.62.207,112.90.80.101,55212,tcp
111.205.62.207,112.90.80.101,55335,tcp
111.205.62.207,112.90.80.101,55421,tcp
111.205.62.207,112.90.80.101,55502,tcp
111.205.62.207,112.90.80.101,61926,tcp
111.205.62.207,112.90.80.101,32444,tcp
111.205.62.207,112.90.80.101,55742,tcp
