City,PacketSizeEntropy,TrafficPercentageOfS,TotalBytesFromCity
山东省-潍坊市,2.0490798774393606,0.1983244715277921,645020
山东省-烟台市,2.0712579527968336,0.1514783016695328,492660
山东省-聊城市,2.0828510754687146,0.1528742166810614,497200
山东省-济宁市,1.9213807892914327,0.10831562560821462,352280
山东省-临沂市,1.9051669189783316,0.28776757215635357,935920
山东省-济南市,2.1909194027896213,0.10942866797423523,355900
山东省-泰安市,1.9420961105379588,0.12034386244764166,391400
山东省-青岛市,1.9438986242474596,0.1396222481795454,454100
山东省-德州市,1.9367585127661935,0.11156251162621947,362840
山东省-莱芜市,2.0214463613378086,0.030021396855870547,97640
山东省-菏泽市,2.2207881683421493,0.04949656355856248,160980
山东省-东营市,2.2611154600354144,0.059464749610050834,193400
山东省-淄博市,2.073720351085236,0.11753358420857307,382260
山东省-滨州市,1.8568710725150122,0.09855036993285157,320520
山东省-威海市,1.7384327639243922,0.034362877023884596,111760
山东省-聊城市,1.9770012747790153,0.15707329285505814,482100
山东省-临沂市,2.037527748029814,0.3189620664576744,978980
山东省-莱芜市,2.0620078314636214,0.028286876759336544,86820
山东省-济南市,2.3935176172552524,0.132761305481392,407480
山东省-潍坊市,1.9405220873063846,0.2157126856118583,662080
山东省-济宁市,2.0170153477323565,0.10332757539110794,317140
山东省-烟台市,2.044975968007695,0.14261381818816854,437720
山东省-枣庄市,2.192865315313281,0.08312731785737303,255140
山东省-滨州市,1.9152785626099647,0.09885093767314797,303400
山东省-泰安市,1.932330969944328,0.11290640718936289,346540
山东省-东营市,2.193239917984839,0.03437301886788764,105500
山东省-淄博市,1.9500481299367403,0.1388800286504814,426260
山东省-青岛市,1.8510008197452463,0.13721187835092136,421140
山东省-菏泽市,1.897743190577208,0.05043548171326073,154800
山东省-德州市,2.0349725743802676,0.1245834592862832,382380
山东省-威海市,1.971335285306981,0.02847584691045858,87400
山东省-日照市,1.889675127483652,0.05901081684693659,181120
山东省-滨州市,1.97157807897191,0.09800867374516359,305420
山东省-聊城市,2.1189582952356414,0.1292256332826186,402700
山东省-临沂市,2.12277573913563,0.2889237426926707,900360
山东省-潍坊市,2.002383676803401,0.2120815024496713,660900
